date,location,avgtemp_c,totalprecip_mm,avghumidity,uv,bodyweight (gm/bird),feedintake (gm/bird/day),waterintake (ml/bird/day)
2023-08-21,Bago,26.5,26.6,89,6,"1,088",83,68
2023-08-28,Bago,26.4,53.4,89,6,"1,585",133,116
2023-09-04,Bago,26.2,12,92,6,"2,110",143,156
2023-09-11,Bago,25.5,15.7,92,6,197,23,22
2023-09-18,Bago,25,24.6,95,6,460,43,50
2023-09-25,Bago,27.4,3.5,85,7,"1,031",90,89
2023-10-02,Bago,24.6,11.92,95,6,"1,593",97,110
2023-10-09,Bago,24.7,10.71,94,6,"1,994",159,160
2023-10-16,Bago,26.4,16.95,87,6,177,20,20
2023-10-23,Bago,25.1,14.5,89,6,510,54,55
2023-10-30,Bago,26.7,12.34,85,7,862,88,77
2023-11-06,Bago,27.5,0.03,80,8,"1,611",128,130
2023-11-13,Bago,27.1,8.5,80,7,"2,358",181,174
2023-11-20,Bago,26,0.63,82,7,212,22,24
2023-11-27,Bago,26,0,73,8,520,54,46
2023-12-04,Bago,27,0.02,73,7,823,76,81
2023-12-11,Bago,27.2,0.07,76,7,"1,569",129,133
2023-12-18,Bago,25.5,0,62,8,"2,057",150,152
2023-12-25,Bago,24.7,0,58,8,202,20,25
2024-01-01,Bago,24,0,55,8,522,59,41
2024-01-08,Bago,25.5,0,43,8,"1,090",86,89
2024-01-15,Bago,25.8,0,48,8,"1,243",121,97
2024-01-22,Bago,22.4,0,45,8,"2,038",153,154
2024-01-29,Bago,25.8,0.02,67,7,224,20,22
2024-02-05,Bago,25.4,0,46,8,555,49,46
2024-02-12,Bago,28.3,0,41,9,868,98,85
2024-02-19,Bago,25.1,0,34,9,"1,444",122,138
2024-02-26,Bago,30,0,26,9,"2,295",151,158
2024-03-04,Bago,27.7,0,40,9,195,22,23
2024-03-11,Bago,28.9,0,29,9,547,52,52
2024-03-18,Bago,31.9,0,44,10,900,91,89
2024-03-25,Bago,30.6,0,45,9,"1,291",130,104
2024-04-01,Bago,31.6,0,41,10,"2,334",155,140
2024-04-08,Bago,32.7,0,54,10,225,26,20
2024-04-15,Bago,33.7,0,49,10,553,45,58
2024-04-22,Bago,32.7,0,53,10,991,83,92
2024-04-29,Bago,34,0,51,10,"1,430",131,131
2024-05-06,Bago,33.3,0,51,10,"2,302",144,180
2024-05-13,Bago,33,4.25,52,8,204,20,22
2024-05-20,Bago,33.2,1.3,57,10,443,57,54
2024-05-27,Bago,27.7,45.77,87,7,889,70,71
2024-06-03,Bago,25.5,17.33,92,6,"1,364",129,94
2024-06-10,Bago,27.9,8.86,82,7,"2,311",160,141
2024-06-17,Bago,27.4,40.73,85,6,213,21,25
2024-06-24,Bago,27.4,10.68,84,7,511,54,48
2024-07-01,Bago,26.9,12.7,84,6,"1,103",85,82
2024-07-29,Bago,25.1,5.67,91,6,"1,585",95,94
2021-01-04,Delta,5.5,24.5,86,2,"2,025",143,180
2021-01-11,Delta,7.8,17.5,90,2,176,24,22
2021-01-18,Delta,5.3,0,78,3,439,52,49
2021-01-25,Delta,3,13.81,94,1,"1,081",95,69
2021-02-01,Delta,5.9,30.2,93,2,"1,383",126,109
2021-02-08,Delta,1.6,0.4,83,1,"2,358",168,168
2021-02-15,Delta,1.1,13.8,96,1,209,21,26
2021-02-22,Delta,7.8,11.1,83,2,480,47,39
2021-03-01,Delta,7.7,0,82,2,834,74,79
2021-03-08,Delta,5.9,0,73,4,"1,190",131,113
2021-03-15,Delta,4.1,0,82,2,"2,006",176,169
2021-03-22,Delta,6.6,0.9,73,3,176,24,20
2021-03-29,Delta,5.8,0,65,3,436,42,43
2021-04-05,Delta,6.9,0,72,4,942,84,88
2021-04-12,Delta,8.7,0,66,4,"1,334",131,112
2021-04-19,Delta,14.8,0,68,5,"2,086",141,169
2021-04-26,Delta,10.4,0.4,81,3,189,23,20
2021-05-03,Delta,10.1,3.7,83,3,441,45,44
2021-05-10,Delta,11.3,0,75,3,"1,091",78,78
2021-05-17,Delta,12.9,11.2,77,3,"1,619",103,128
2021-05-24,Delta,11.5,5.8,86,3,"2,237",162,168
2021-05-31,Delta,16.2,0,76,4,176,21,24
2021-06-07,Delta,11.3,2.9,74,3,558,59,39
2021-06-14,Delta,15.6,3.8,87,4,959,81,84
2021-06-21,Delta,20.4,0,79,6,"1,397",114,116
2021-06-28,Delta,29.3,0,65,8,"2,162",170,158
2021-07-05,Delta,17.7,0,79,6,180,27,18
2021-07-12,Delta,19.4,0,79,6,546,57,51
2021-07-19,Delta,18.1,0,73,6,932,78,89
2021-07-26,Delta,18.3,0,79,6,"1,587",113,124
2021-08-02,Delta,19.8,0,77,6,"2,258",170,159
2021-08-09,Delta,17.3,0,77,6,213,21,21
2021-08-16,Delta,17.4,1.5,85,4,462,41,45
2021-08-23,Delta,15.4,0.3,77,4,973,79,82
2021-08-30,Delta,13.7,0.1,78,4,"1,689",134,106
2021-09-06,Delta,16.2,0.1,80,5,"2,234",165,180
2021-09-13,Delta,14.2,0,78,4,182,22,23
2021-09-20,Delta,13.3,0,86,4,474,50,42
2021-09-27,Delta,13,22.1,85,3,818,71,82
2021-10-04,Delta,11.3,0,84,3,"1,548",137,122
2021-10-11,Delta,8.3,0,75,3,"2,270",176,152
2021-10-18,Delta,9.7,0,89,3,221,20,23
2021-10-25,Delta,10,23.5,84,3,505,56,55
2021-11-01,Delta,7.2,7.7,72,2,802,82,74
2021-11-08,Delta,6.7,4.2,84,2,"1,609",98,132
2021-11-15,Delta,9.2,52.9,88,3,"2,258",174,161
2021-11-22,Delta,5.5,5.2,74,2,217,23,23
2021-11-29,Delta,10,7.2,93,3,441,53,48
2021-12-06,Delta,2.5,7.1,90,1,"1,004",70,76
2021-12-13,Delta,2.9,10.5,88,1,"1,199",114,105
2021-12-20,Delta,-0.3,0,63,1,"2,147",182,168
2021-12-27,Delta,-11.7,0,74,2,215,21,23
2022-01-03,Delta,2.7,20.2,90,1,521,43,55
2022-01-10,Delta,3.5,6.7,79,2,834,82,76
2022-01-17,Delta,6.1,3.5,95,2,"1,665",133,95
2022-01-24,Delta,3.6,0,79,3,"2,079",150,171
2022-01-31,Delta,4.3,0.3,79,2,187,24,20
2022-02-07,Delta,6.8,3.9,86,2,444,51,56
2022-02-14,Delta,6.4,7.2,88,2,987,86,78
2022-02-21,Delta,3,1.6,82,1,"1,695",99,96
2022-02-28,Delta,6.3,19,94,2,"2,252",169,142
2022-03-07,Delta,5.8,0,77,3,216,22,21
2022-03-14,Delta,7,28.1,93,2,523,57,56
2022-03-21,Delta,6.2,11.7,93,2,"1,104",75,76
2022-03-28,Delta,9.5,1.7,87,3,"1,552",98,109
2022-04-04,Delta,7.3,16.3,80,2,"2,089",147,179
2022-04-11,Delta,7.3,0.4,73,3,223,24,24
2022-04-18,Delta,6.9,23.3,85,2,543,48,54
2022-04-25,Delta,9.4,7.4,82,3,816,93,69
2022-05-02,Delta,10.4,6.2,86,3,"1,695",111,120
2022-05-09,Delta,8.5,1.4,84,3,"1,961",178,145
2022-05-16,Delta,11.3,5.1,80,3,200,27,24
2022-05-23,Delta,12.3,0.8,80,3,527,45,50
2022-05-30,Delta,12.6,2.4,79,4,902,86,78
2022-06-06,Delta,13.4,0.2,79,4,"1,509",98,119
2022-06-13,Delta,12.8,2.8,77,4,"2,362",149,140
2022-06-20,Delta,13.7,0,82,4,197,22,22
2022-06-27,Delta,20.9,0,73,6,463,51,42
2022-07-04,Delta,14.2,1.5,89,4,793,95,86
2022-07-11,Delta,19.1,0,76,6,"1,222",116,125
2022-07-18,Delta,16.2,0.8,77,4,"2,036",164,168
2022-07-25,Delta,21.2,0,80,7,206,20,22
2022-08-01,Delta,19.2,0,78,6,515,48,44
2022-08-08,Delta,21.1,0,74,7,883,72,84
2022-08-15,Delta,19,0,71,6,"1,430",129,97
2022-08-22,Delta,19.2,0,78,6,"2,272",165,147
2022-08-29,Delta,19.2,0.2,71,5,217,22,22
2022-09-05,Delta,16.6,0.1,79,5,487,57,57
2022-09-12,Delta,16.5,0.4,78,5,917,91,71
2022-09-19,Delta,15,0,64,6,"1,278",129,103
2022-09-26,Delta,17.1,0,73,6,"2,082",146,155
2022-10-03,Delta,16.9,0,76,6,193,24,18
2022-10-10,Delta,14,0,83,5,501,45,42
2022-10-17,Delta,13.7,0,78,5,956,76,73
2022-10-24,Delta,9.7,17.3,84,3,"1,275",115,117
2022-10-31,Delta,10,6.2,77,3,"2,263",144,143
2022-11-07,Delta,0.8,2.7,71,1,219,20,19
2022-11-14,Delta,5.3,0,82,4,520,47,50
2022-11-21,Delta,6.9,0.2,64,2,"1,015",88,76
2022-11-28,Delta,2.2,0.9,63,1,"1,488",133,119
2022-12-05,Delta,0.3,0,75,2,"2,165",152,156
2022-12-12,Delta,1.8,0,75,1,223,26,25
2022-12-19,Delta,-7.4,1.5,50,1,439,53,41
2022-12-26,Delta,8,25.1,92,3,946,95,78
2023-01-02,Delta,3.1,0,74,2,"1,403",120,128
2023-01-09,Delta,6.3,6.3,87,2,"2,056",165,160
2023-01-16,Delta,6.5,10.1,92,2,185,25,26
2023-01-23,Delta,3.6,0.2,85,2,434,43,48
2023-01-30,Delta,0,0,48,1,"1,108",80,76
2023-02-06,Delta,6.5,7.6,88,2,"1,164",106,96
2023-02-13,Delta,5.8,2.3,77,2,"2,064",162,176
2023-02-20,Delta,7.2,13.2,90,2,179,19,20
2023-02-27,Delta,0.5,0.3,83,1,540,52,55
2023-03-06,Delta,5.1,4.3,78,3,954,72,82
2023-03-13,Delta,5.5,8.7,85,2,"1,324",98,108
2023-03-20,Delta,7.7,16.1,91,2,"1,987",144,172
2023-03-27,Delta,5.6,0,71,3,188,26,23
2023-04-03,Delta,4.7,0.3,76,2,543,52,44
2023-04-10,Delta,7.5,2.5,86,2,822,73,70
2023-04-17,Delta,5.8,8.9,79,2,"1,474",99,100
2023-04-24,Delta,8.6,9.05,83,3,"2,363",155,178
2023-05-01,Delta,11.4,5.4,92,3,218,22,20
2023-05-08,Delta,11.2,0,76,3,462,47,53
2023-05-15,Delta,20.5,0,68,7,904,78,85
2023-05-22,Delta,12.4,3.4,75,3,"1,322",133,100
2023-05-29,Delta,13.9,0,78,4,"2,264",169,138
2023-06-05,Delta,15.4,0,59,6,188,26,21
2023-06-12,Delta,17.9,0,80,6,443,47,55
2023-06-19,Delta,10.8,4.9,85,3,925,81,71
2023-06-26,Delta,15.9,0,82,4,"1,495",115,127
2023-07-03,Delta,19.4,0,66,7,"2,359",156,178
2023-07-10,Delta,15.7,0.2,80,4,176,19,18
2023-07-17,Delta,17.6,0.8,79,5,551,48,50
2023-07-24,Delta,15.5,16.95,86,4,874,71,90
2023-07-31,Delta,17,0,85,5,"1,523",97,123
2023-08-07,Delta,18,0.3,88,5,"2,280",136,138
2023-08-14,Delta,22.8,0,76,7,192,27,26
2023-08-21,Delta,16.3,0,76,6,439,47,55
2023-08-28,Delta,16.6,1.4,83,4,958,79,84
2023-09-04,Delta,14.6,0,84,4,"1,425",125,135
2023-09-11,Delta,15.7,0.3,82,4,"2,324",157,175
2023-09-18,Delta,14.3,0.8,78,4,186,27,24
2023-09-25,Delta,14.2,23.14,86,4,487,54,53
2023-10-02,Delta,11.2,0.57,87,3,"1,035",81,81
2023-10-09,Delta,13.2,24.26,86,3,"1,578",134,124
2023-10-16,Delta,13.1,29.03,90,3,"2,058",137,158
2023-10-23,Delta,8.8,0.2,79,3,196,26,23
2023-10-30,Delta,6.8,0,75,3,472,43,45
2023-11-06,Delta,9.3,20.63,90,2,"1,000",96,75
2023-11-13,Delta,8.3,6.05,80,2,"1,495",132,125
2023-11-20,Delta,6.4,0.01,77,2,"1,966",148,157
2023-11-27,Delta,5,0,84,2,192,21,25
2023-12-04,Delta,7.8,39.41,95,3,465,56,39
2023-12-11,Delta,6.8,0.39,91,2,805,73,88
2023-12-18,Delta,7.9,0.03,84,2,"1,611",121,111
2023-12-25,Delta,5.4,12.07,84,2,"1,969",139,167
2024-01-01,Delta,6.5,0,81,2,178,20,18
2024-01-08,Delta,2.9,8.65,93,1,438,50,41
2024-01-15,Delta,-1.7,0,51,1,835,88,77
2024-01-22,Delta,6.1,26.13,94,2,"1,378",135,122
2024-01-29,Delta,11.4,3.15,90,3,"2,236",179,148
2024-02-05,Delta,6.3,0,71,2,205,25,25
2024-02-12,Delta,5.7,9.02,92,2,515,57,52
2024-02-19,Delta,5.9,1.92,87,2,810,71,86
2024-02-26,Delta,4.3,0.39,57,2,"1,646",122,105
2024-03-04,Delta,1.6,1.59,83,1,"2,043",155,143
2024-03-11,Delta,5.7,14.83,89,2,194,22,25
2024-03-18,Delta,9.8,0.01,84,4,466,42,46
2024-03-25,Delta,8.4,0.6,83,2,"1,085",77,81
2024-04-01,Delta,8.9,0.01,78,3,"1,687",117,102
2024-04-08,Delta,7.3,17.12,87,2,"2,275",173,164
2024-04-15,Delta,8.3,1.01,72,3,186,27,19
2024-04-22,Delta,8.6,0,71,4,525,45,42
2024-04-29,Delta,7.3,0.64,67,2,855,94,67
2024-05-06,Delta,10.1,5.38,72,3,"1,619",107,95
2024-05-13,Delta,12.2,0.51,82,3,"2,121",181,157
2024-05-20,Delta,10.9,0.01,72,3,181,27,23
2024-05-27,Delta,12.1,0.32,81,3,484,43,45
2024-06-03,Delta,11.8,17.37,84,3,818,81,86
2024-06-10,Delta,13.4,0,73,5,"1,335",124,106
2024-06-17,Delta,11.3,0.12,79,3,"2,193",165,162
2024-06-24,Delta,14.2,0.26,71,4,219,23,21
2024-07-01,Delta,15.7,0.06,77,4,459,50,40
2024-07-29,Delta,15.8,18.76,93,4,915,72,88
2021-01-04,Hmawbi,26.6,0,54,8,"1,220",107,107
2021-01-11,Hmawbi,27.5,0,63,8,"2,173",153,157
2021-01-18,Hmawbi,25.4,0,48,8,177,28,26
2021-01-25,Hmawbi,26.1,0,48,8,443,43,50
2021-02-01,Hmawbi,27.1,0,37,8,839,93,69
2021-02-08,Hmawbi,26.5,0,41,7,"1,472",122,117
2021-02-15,Hmawbi,25.8,0,58,8,"2,197",180,142
2021-02-22,Hmawbi,29.1,0,46,9,202,23,24
2021-03-01,Hmawbi,28,0,55,9,551,54,41
2021-03-08,Hmawbi,29.7,0,32,9,807,90,92
2021-03-15,Hmawbi,30.4,0,43,9,"1,592",102,114
2021-03-22,Hmawbi,30.8,0,48,9,"2,211",155,158
2021-03-29,Hmawbi,31.5,0,42,9,195,20,21
2021-04-05,Hmawbi,27.9,9.4,47,7,494,60,54
2021-04-12,Hmawbi,31.5,0.2,53,8,"1,008",94,83
2021-04-19,Hmawbi,29.7,1.4,59,7,"1,244",109,94
2021-04-26,Hmawbi,31.7,0.8,55,8,"2,176",140,152
2021-05-03,Hmawbi,31.2,0,52,9,178,22,20
2021-05-10,Hmawbi,30.9,1.1,57,8,526,59,45
2021-05-17,Hmawbi,33.4,0,55,9,929,97,75
2021-05-24,Hmawbi,27.9,34.98,77,7,"1,595",109,97
2021-05-31,Hmawbi,29.4,3.4,68,7,"2,103",142,154
2021-06-07,Hmawbi,27.3,25.3,77,6,198,20,26
2021-06-14,Hmawbi,25.6,35.62,91,6,538,42,42
2021-06-21,Hmawbi,27.2,12.1,75,7,981,79,69
2021-06-28,Hmawbi,27.6,4.4,82,6,"1,559",119,104
2021-07-05,Hmawbi,29,0.7,76,7,"2,199",158,177
2021-07-12,Hmawbi,26.5,30.69,86,6,187,20,19
2021-07-19,Hmawbi,26.2,21.3,86,6,528,56,48
2021-07-26,Hmawbi,24.9,16.88,90,6,"1,027",75,75
2021-08-02,Hmawbi,26.3,23,84,6,"1,386",129,100
2021-08-09,Hmawbi,28.3,2.3,80,7,"2,004",140,144
2021-08-16,Hmawbi,24.7,41.63,94,6,195,26,22
2021-08-23,Hmawbi,28.1,10.4,79,7,518,51,44
2021-08-30,Hmawbi,26,1.3,90,6,"1,049",84,77
2021-09-06,Hmawbi,25.3,15.9,87,6,"1,635",129,121
2021-09-13,Hmawbi,26.3,19.08,85,7,"2,086",158,142
2021-09-20,Hmawbi,26.8,11.74,86,7,197,22,23
2021-09-27,Hmawbi,25.3,52.4,89,6,532,46,40
2021-10-04,Hmawbi,27,2.2,85,7,850,72,90
2021-10-11,Hmawbi,27.1,25.4,86,7,"1,332",137,119
2021-10-18,Hmawbi,24.8,28.96,94,6,"2,258",174,162
2021-10-25,Hmawbi,26.7,0.1,81,7,195,25,20
2021-11-01,Hmawbi,27.4,0.2,80,7,434,46,42
2021-11-08,Hmawbi,28,0.6,79,7,"1,005",70,69
2021-11-15,Hmawbi,27,0,76,7,"1,311",98,119
2021-11-22,Hmawbi,28.1,0,70,8,"2,281",141,176
2021-11-29,Hmawbi,26.7,0,76,8,205,25,23
2021-12-06,Hmawbi,25,0,58,8,542,42,48
2021-12-13,Hmawbi,26.7,0,58,8,970,91,93
2021-12-20,Hmawbi,25.3,0,65,8,"1,360",103,107
2021-12-27,Hmawbi,25,0,53,8,"2,319",160,143
2022-01-03,Hmawbi,26.4,0,55,8,199,25,25
2022-01-10,Hmawbi,26.1,0,48,8,538,56,56
2022-01-17,Hmawbi,26.6,0,55,8,"1,039",94,74
2022-01-24,Hmawbi,24.5,0,47,8,"1,440",129,132
2022-01-31,Hmawbi,22.6,0,50,8,"2,275",139,175
2022-02-07,Hmawbi,24.5,0,35,8,186,21,22
2022-02-14,Hmawbi,25.9,0,32,9,559,46,53
2022-02-21,Hmawbi,25.8,0,46,8,854,88,72
2022-02-28,Hmawbi,28.1,0,38,8,"1,262",131,137
2022-03-07,Hmawbi,30.1,0,36,9,"1,996",163,151
2022-03-14,Hmawbi,31.8,0,34,10,210,24,27
2022-03-21,Hmawbi,25.8,38.28,87,6,463,52,47
2022-03-28,Hmawbi,30.7,0.1,55,8,867,72,70
2022-04-04,Hmawbi,30.1,0,49,9,"1,280",140,135
2022-04-11,Hmawbi,31.2,0,51,9,"2,357",183,158
2022-04-18,Hmawbi,32.4,0,52,9,196,19,23
2022-04-25,Hmawbi,32.9,0.1,52,8,502,56,55
2022-05-02,Hmawbi,31.6,4.9,57,8,"1,032",81,74
2022-05-09,Hmawbi,27.5,16.7,78,6,"1,623",123,121
2022-05-16,Hmawbi,30,9,69,7,"2,123",143,162
2022-05-23,Hmawbi,27.3,15.99,81,7,180,23,24
2022-05-30,Hmawbi,27.4,9.51,81,7,441,45,50
2022-06-06,Hmawbi,27,6.3,78,7,908,73,80
2022-06-13,Hmawbi,27.7,35.6,77,7,"1,613",129,117
2022-06-20,Hmawbi,27.4,14.36,76,7,"2,283",161,169
2022-06-27,Hmawbi,26.9,10.4,83,6,211,22,18
2022-07-04,Hmawbi,25.7,12.2,92,6,514,57,47
2022-07-11,Hmawbi,26.7,15.3,83,6,802,93,88
2022-07-18,Hmawbi,28.3,12.31,80,7,"1,198",101,120
2022-07-25,Hmawbi,29.1,0.6,74,7,"2,264",175,145
2022-08-01,Hmawbi,28.7,5.5,75,7,222,24,19
2022-08-08,Hmawbi,24.9,37.91,94,6,464,44,40
2022-08-15,Hmawbi,26.3,5.8,84,6,"1,087",70,69
2022-08-22,Hmawbi,24.8,63.39,92,6,"1,289",99,124
2022-08-29,Hmawbi,28.6,1,79,7,"2,365",145,139
2022-09-05,Hmawbi,28,2.9,81,7,197,25,20
2022-09-12,Hmawbi,25.4,4.8,89,6,468,45,39
2022-09-19,Hmawbi,24.5,36.3,94,6,"1,090",74,84
2022-09-26,Hmawbi,24.2,59.58,94,6,"1,180",97,97
2022-10-03,Hmawbi,24.8,2.3,95,6,"2,185",172,140
2022-10-10,Hmawbi,27.3,2.9,82,7,195,26,21
2022-10-17,Hmawbi,26.2,0,75,7,446,50,51
