date;location;avgtemp_c;totalprecip_mm;avghumidity;uv;feedintake (gm/bird/day);bodyweight (gm/bird);age(day)
2021-02-22;Taungnyo;26,3;0;72;8;49;339;11
2021-02-23;Taungnyo;26,6;0;73;8;53;375;12
2021-02-24;Taungnyo;26,7;0;76;8;61;464;13
2021-02-25;Taungnyo;26,6;0;73;8;63;487;14
2021-02-26;Taungnyo;26,1;0;71;8;67;588;15
2021-02-27;Taungnyo;26,2;0;70;8;74;651;16
2021-02-28;Taungnyo;26,9;0;72;8;76;655;17
2021-03-01;Taungnyo;27,1;0;67;8;98;764;18
2021-03-02;Taungnyo;27,8;0;63;7;103;884;19
2021-03-03;Taungnyo;27;17,5;72;7;106;924;20
2021-03-04;Taungnyo;27,7;0;75;7;118;1056;21
2021-03-05;Taungnyo;27,8;0,2;72;7;122;1112;22
2021-03-06;Taungnyo;28,3;0;72;8;128;1144;23
2021-03-07;Taungnyo;27,9;0,3;70;7;136;1243;24
2021-03-08;Taungnyo;27,9;1,2;67;7;144;1325;25
2021-03-09;Taungnyo;27,8;1,8;69;7;146;1410;26
2021-03-10;Taungnyo;27,1;3,5;74;7;156;1466;27
2021-03-11;Taungnyo;27,7;5,5;73;7;162;1679;28
2021-03-12;Taungnyo;28,3;5;69;7;163;1728;29
2021-03-13;Taungnyo;28,2;11,3;69;7;165;1836;30
2021-03-14;Taungnyo;27,8;28,2;71;7;166;1898;31
2021-03-15;Taungnyo;28;3,4;72;7;180;2068;32
2021-03-16;Taungnyo;28;6,2;74;7;182;2195;33
2021-03-17;Taungnyo;28,1;0,8;73;7;196;2247;34
2021-03-18;Taungnyo;28;0,9;71;7;200;2368;35
2021-03-19;Taungnyo;28,1;0;68;8;206;2486;36
2021-03-20;Taungnyo;28,2;0;68;8;209;2611;37
2021-03-21;Taungnyo;28,7;0;69;8;211;2768;38
2021-03-22;Taungnyo;28,5;1,3;67;7;214;2870;39
2021-03-23;Taungnyo;29,3;0,2;64;7;222;2929;40
2021-03-24;Taungnyo;29,1;0,8;70;7;224;3009;41
2021-03-25;Taungnyo;29,4;1,1;69;7;225;3075;42
2021-03-26;Taungnyo;28,9;0,9;71;7;15;67;1
2021-03-27;Taungnyo;29,3;2,3;70;7;19;84;2
2021-03-28;Taungnyo;28,6;2,4;75;7;22;106;3
2021-03-29;Taungnyo;29,1;3,7;74;7;27;124;4
2021-03-30;Taungnyo;28,4;5,2;73;7;28;136;5
2021-03-31;Taungnyo;28,7;3,6;71;7;32;161;6
2021-04-01;Taungnyo;27,8;24,2;74;7;35;191;7
2021-04-02;Taungnyo;27,2;30,23;82;7;43;251;8
2021-04-03;Taungnyo;27,1;8,2;81;7;44;297;9
2021-04-04;Taungnyo;27,6;6,8;78;7;46;343;10
2021-04-05;Taungnyo;27,3;7,1;77;7;52;395;11
2021-04-06;Taungnyo;26,9;6,11;80;7;61;431;12
2021-04-07;Taungnyo;27,4;11,27;75;7;65;436;13
2021-04-08;Taungnyo;27,6;2,1;75;7;73;538;14
2021-04-09;Taungnyo;27,9;4,5;76;7;74;593;15
2021-04-10;Taungnyo;26,4;22;81;7;80;694;16
2021-04-11;Taungnyo;27,7;18,39;77;7;84;725;17
2021-04-12;Taungnyo;27,7;13,89;77;7;92;772;18
2021-04-13;Taungnyo;28;12,77;77;7;95;840;19
2021-04-14;Taungnyo;27,9;17,78;76;7;98;923;20
2021-04-15;Taungnyo;27,3;7,74;82;7;103;946;21
2021-04-16;Taungnyo;27,6;22,2;77;7;110;1049;22
2021-04-17;Taungnyo;27,3;27,68;81;6;114;1084;23
2021-04-18;Taungnyo;26,7;22,75;82;6;120;1312;24
2021-04-19;Taungnyo;27,2;12,4;75;6;126;1313;25
2021-04-20;Taungnyo;27,9;2,3;74;7;150;1495;26
2021-04-21;Taungnyo;28,5;6,5;66;7;157;1542;27
2021-04-22;Taungnyo;28,6;2,7;67;7;157;1557;28
2021-04-23;Taungnyo;28,3;2,3;68;7;169;1669;29
2021-04-24;Taungnyo;28,5;9,6;67;7;170;1838;30
2021-04-25;Taungnyo;28;15;67;7;172;1896;31
2021-04-26;Taungnyo;28,1;8,1;71;7;174;2132;32
2021-04-27;Taungnyo;28,1;2,2;73;7;180;2143;33
2021-04-28;Taungnyo;28,3;4,5;74;7;187;2265;34
2021-04-29;Taungnyo;27,4;9,3;78;7;190;2408;35
2021-04-30;Taungnyo;27,1;13;79;7;194;2427;36
2021-05-01;Taungnyo;27,6;4,3;77;7;211;2553;37
2021-05-02;Taungnyo;27,9;18,65;76;7;218;2682;38
2021-05-03;Taungnyo;28,9;10,9;75;7;221;2862;39
2021-05-04;Taungnyo;29;8,1;74;7;221;2933;40
2021-05-05;Taungnyo;28,6;13;79;7;223;2948;41
2021-05-06;Taungnyo;27,8;21,48;80;7;226;3138;42
2021-05-07;Taungnyo;26,2;13,9;84;6;12;63;1
2021-05-08;Taungnyo;27,3;18,1;75;7;15;87;2
2021-05-09;Taungnyo;27,5;1,7;79;7;21;91;3
2021-05-10;Taungnyo;28,7;4,9;76;7;23;120;4
2021-05-11;Taungnyo;28,9;2,9;74;7;31;155;5
2021-05-12;Taungnyo;29,1;1,1;75;7;34;167;6
2021-05-13;Taungnyo;29,3;1,1;73;7;37;194;7
2021-05-14;Taungnyo;29,5;5,9;71;7;43;241;8
2021-05-15;Taungnyo;29,7;3,8;74;7;48;289;9
2021-05-16;Taungnyo;29,1;8,8;78;7;54;328;10
2021-05-17;Taungnyo;29;7,1;78;7;55;351;11
2021-05-18;Taungnyo;28,9;12,7;77;7;60;392;12
2021-05-19;Taungnyo;28,1;20,9;77;7;62;444;13
2021-05-20;Taungnyo;28,2;41,1;75;7;72;477;14
2021-05-21;Taungnyo;27,3;36,47;83;6;76;625;15
2021-05-22;Taungnyo;25,5;58,33;87;6;76;631;16
2021-05-23;Taungnyo;27,2;16,29;75;7;86;730;17
2021-05-24;Taungnyo;27,3;10,57;80;6;96;820;18
2021-05-25;Taungnyo;24,8;144,55;92;6;97;889;19
2021-05-26;Taungnyo;24,6;149,67;94;6;104;997;20
2021-05-27;Taungnyo;25,6;58,49;88;6;117;1020;21
2021-05-28;Taungnyo;25,4;64,77;91;6;123;1161;22
2021-05-29;Taungnyo;26,5;63,6;87;6;125;1220;23
2021-05-30;Taungnyo;27,5;15,1;83;6;128;1252;24
2021-05-31;Taungnyo;27,7;6,8;81;7;130;1360;25
2021-06-01;Taungnyo;28,4;2,5;79;7;140;1535;26
2021-06-02;Taungnyo;28,5;6,2;77;7;158;1604;27
2021-06-03;Taungnyo;28,6;3,2;79;7;161;1700;28
2021-06-04;Taungnyo;28,7;4,6;78;7;167;1801;29
2021-06-05;Taungnyo;28,2;13,3;77;7;170;1888;30
2021-06-06;Taungnyo;27,4;21,61;84;6;180;1933;31
2021-06-07;Taungnyo;25,1;30,06;89;6;184;2000;32
2021-06-08;Taungnyo;25,2;76,01;89;6;192;2145;33
2021-06-09;Taungnyo;25,4;91,52;91;6;194;2329;34
2021-06-10;Taungnyo;24,6;85,84;91;6;194;2384;35
2021-06-11;Taungnyo;24,4;81,24;89;6;207;2548;36
2021-06-12;Taungnyo;26,6;9,32;78;6;213;2659;37
2021-06-13;Taungnyo;26;20,47;85;6;213;2721;38
2021-06-14;Taungnyo;26,6;27,36;83;6;217;2808;39
2021-06-15;Taungnyo;26,6;45,19;85;6;222;2861;40
2021-06-16;Taungnyo;25,9;41,53;87;6;224;3008;41
2021-06-17;Taungnyo;25,2;22,6;87;6;231;3130;42
2021-06-18;Taungnyo;27;1,6;80;6;14;64;1
2021-06-19;Taungnyo;27,6;4,5;78;6;16;77;2
2021-06-20;Taungnyo;27,4;5,2;81;7;21;108;3
2021-06-21;Taungnyo;26,9;20,83;80;6;22;124;4
2021-06-22;Taungnyo;26,6;45,37;85;6;25;148;5
2021-06-23;Taungnyo;25,5;31,3;81;6;32;182;6
2021-06-24;Taungnyo;26,4;14,03;82;6;38;212;7
2021-06-25;Taungnyo;26,6;17,1;81;6;43;248;8
2021-06-26;Taungnyo;26,8;12;81;6;44;308;9
2021-06-27;Taungnyo;26,7;15,8;83;6;50;345;10
2021-06-28;Taungnyo;27,3;18,4;80;6;53;350;11
2021-06-29;Taungnyo;27,6;13,2;79;7;64;417;12
2021-06-30;Taungnyo;26,6;30,43;83;6;67;478;13
2021-07-01;Taungnyo;27,3;18,2;81;6;70;491;14
2021-07-02;Taungnyo;27,7;7,9;78;7;72;613;15
2021-07-03;Taungnyo;27,8;2,3;75;7;83;700;16
2021-07-04;Taungnyo;28;0,8;77;6;84;766;17
2021-07-05;Taungnyo;27,8;4;78;6;85;805;18
2021-07-06;Taungnyo;27,4;14,4;79;6;95;883;19
2021-07-07;Taungnyo;26,6;24,5;79;6;106;955;20
2021-07-08;Taungnyo;25,5;58,34;90;6;118;1058;21
2021-07-09;Taungnyo;23,9;133,97;93;5;123;1116;22
2021-07-10;Taungnyo;24,3;177,19;94;6;124;1136;23
2021-07-11;Taungnyo;25,9;49,53;89;6;130;1198;24
2021-07-12;Taungnyo;26,2;28,4;84;6;133;1319;25
2021-07-13;Taungnyo;27,3;13,5;80;6;149;1327;26
2021-07-14;Taungnyo;27,5;5,6;78;6;157;1445;27
2021-07-15;Taungnyo;25,2;55,96;88;6;158;1588;28
2021-07-16;Taungnyo;25,7;23,97;88;6;164;1784;29
2021-07-17;Taungnyo;25,7;25,83;87;6;170;1828;30
2021-07-18;Taungnyo;25,8;40,69;88;6;174;1926;31
2021-07-19;Taungnyo;26,1;40,23;86;6;186;2126;32
2021-07-20;Taungnyo;25,6;52;90;6;190;2224;33
2021-07-21;Taungnyo;25;45,34;89;6;191;2235;34
2021-07-22;Taungnyo;27,1;21,09;84;6;202;2392;35
2021-07-23;Taungnyo;26,2;30,48;87;6;203;2551;36
2021-07-24;Taungnyo;24,5;47,33;89;6;209;2570;37
2021-07-25;Taungnyo;25,7;33,76;87;6;213;2747;38
2021-07-26;Taungnyo;26;19,1;83;6;215;2772;39
2021-07-27;Taungnyo;27;37,95;85;6;217;2773;40
2021-07-28;Taungnyo;26;49,41;86;6;225;2900;41
2021-07-29;Taungnyo;26,8;42,3;86;6;230;2940;42
2021-07-30;Taungnyo;25,8;28,79;87;6;14;63;1
2021-07-31;Taungnyo;26,6;12,59;87;6;18;84;2
2021-08-01;Taungnyo;25,2;17,39;87;6;23;95;3
2021-08-02;Taungnyo;26,4;17,37;86;6;27;116;4
2021-08-03;Taungnyo;25,5;27,02;87;6;28;145;5
2021-08-04;Taungnyo;26,3;19,78;86;6;33;183;6
2021-08-05;Taungnyo;26,5;34,43;86;6;36;203;7
2021-08-06;Taungnyo;26,2;30,58;88;6;40;232;8
2021-08-07;Taungnyo;25,4;23,89;89;6;48;301;9
2021-08-08;Taungnyo;26,5;9,49;85;6;53;326;10
2021-08-09;Taungnyo;27,2;10,5;83;6;60;336;11
2021-08-10;Taungnyo;27,4;6,4;83;6;64;392;12
2021-08-11;Taungnyo;27,4;33,7;82;6;66;489;13
2021-08-12;Taungnyo;27;24,47;83;6;75;501;14
2021-08-13;Taungnyo;26,6;52,59;87;6;76;601;15
2021-08-14;Taungnyo;25,5;47,94;91;6;86;689;16
2021-08-15;Taungnyo;24,9;61,77;91;6;88;729;17
2021-08-16;Taungnyo;24,7;27,33;89;6;96;748;18
2021-08-17;Taungnyo;26,5;4,5;81;6;96;899;19
2021-08-18;Taungnyo;27;6,9;80;6;103;988;20
2021-08-19;Taungnyo;27,2;5,4;81;6;110;1018;21
2021-08-20;Taungnyo;27,2;3,7;79;6;115;1168;22
2021-08-21;Taungnyo;27;9,2;82;6;125;1260;23
2021-08-22;Taungnyo;26,8;19,6;82;6;126;1284;24
2021-08-23;Taungnyo;26,9;19,2;80;6;137;1411;25
2021-08-24;Taungnyo;27;21,99;82;6;149;1511;26
2021-08-25;Taungnyo;26,2;30,09;84;6;158;1512;27
2021-08-26;Taungnyo;23,9;58,38;91;6;164;1632;28
2021-08-27;Taungnyo;25,5;28,63;86;6;165;1641;29
2021-08-28;Taungnyo;25,9;23;84;6;173;1668;30
2021-08-29;Taungnyo;24,6;27,18;91;6;178;1841;31
2021-08-30;Taungnyo;27;5,4;80;6;185;2002;32
2021-08-31;Taungnyo;26,7;20,3;82;6;186;2166;33
2021-09-01;Taungnyo;26,4;31,8;85;6;187;2180;34
2021-09-02;Taungnyo;25,5;54,87;88;6;188;2394;35
2021-09-03;Taungnyo;24,8;83,86;91;6;200;2529;36
2021-09-04;Taungnyo;24,2;30,03;88;6;204;2665;37
2021-09-05;Taungnyo;25,3;30,04;89;6;205;2704;38
2021-09-06;Taungnyo;26,6;9,2;81;6;207;2815;39
2021-09-07;Taungnyo;26,5;8,8;82;6;211;2883;40
2021-09-08;Taungnyo;25,9;53,2;87;6;226;2976;41
2021-09-09;Taungnyo;25,6;50,64;87;6;234;3021;42
2021-09-10;Taungnyo;25,3;54,8;91;6;12;59;1
2021-09-11;Taungnyo;25,6;52,38;90;6;15;85;2
2021-09-12;Taungnyo;26,5;10,18;85;6;22;98;3
2021-09-13;Taungnyo;25,7;24,96;88;6;24;120;4
2021-09-14;Taungnyo;25,4;36,77;90;6;26;142;5
2021-09-15;Taungnyo;25;59,16;92;6;30;187;6
2021-09-16;Taungnyo;24,9;38,49;93;6;40;194;7
2021-09-17;Taungnyo;26,1;1,6;86;6;41;257;8
2021-09-18;Taungnyo;26,8;8,1;82;6;42;311;9
2021-09-19;Taungnyo;27,2;2;81;6;44;343;10
2021-09-20;Taungnyo;25,6;35,8;88;6;60;381;11
2021-09-21;Taungnyo;25;43,4;89;6;64;439;12
2021-09-22;Taungnyo;25;52,48;91;6;69;508;13
2021-09-23;Taungnyo;24,9;209,25;92;6;70;529;14
2021-09-24;Taungnyo;25,4;38,1;86;6;74;634;15
2021-09-25;Taungnyo;24,5;51,42;94;6;87;666;16
2021-09-26;Taungnyo;24,5;53,03;92;6;88;755;17
2021-09-27;Taungnyo;26,1;12,7;85;6;98;813;18
2021-09-28;Taungnyo;26,8;7,9;82;7;98;821;19
2021-09-29;Taungnyo;27,5;11,9;82;7;111;951;20
2021-09-30;Taungnyo;27,8;7,2;81;7;114;1046;21
2021-10-01;Taungnyo;27,9;11,2;81;7;121;1170;22
2021-10-02;Taungnyo;26,8;12,3;82;6;122;1244;23
2021-10-03;Taungnyo;26,9;8,7;80;6;134;1295;24
2021-10-04;Taungnyo;26,7;21,38;83;6;136;1351;25
2021-10-05;Taungnyo;26,5;11,64;83;6;142;1427;26
2021-10-06;Taungnyo;26;31,32;83;6;158;1471;27
2021-10-07;Taungnyo;25,2;40,25;91;6;160;1472;28
2021-10-08;Taungnyo;25,5;41,14;90;6;165;1808;29
2021-10-09;Taungnyo;25,7;39,05;90;6;166;1842;30
2021-10-10;Taungnyo;25,9;51,85;91;6;182;1920;31
2021-10-11;Taungnyo;26,3;52,51;90;6;185;2112;32
2021-10-12;Taungnyo;25,5;53,78;91;6;186;2166;33
2021-10-13;Taungnyo;26;59,52;89;6;189;2202;34
2021-10-14;Taungnyo;25,6;58,14;92;6;198;2286;35
2021-10-15;Taungnyo;26;64,78;89;6;204;2478;36
2021-10-16;Taungnyo;25,7;51,71;86;6;212;2480;37
2021-10-17;Taungnyo;24,6;14,05;92;6;216;2497;38
2021-10-18;Taungnyo;25,7;1,1;80;6;221;2820;39
2021-10-19;Taungnyo;26,7;0;75;8;224;2895;40
2021-10-20;Taungnyo;27,6;0,2;80;7;226;2959;41
2021-10-21;Taungnyo;26,8;1,7;80;6;229;3076;42
2021-10-22;Taungnyo;27,1;1;79;7;14;55;1
2021-10-23;Taungnyo;26,3;17,4;84;6;19;79;2
2021-10-24;Taungnyo;26,6;18,9;80;7;20;98;3
2021-10-25;Taungnyo;26,4;4,7;81;6;26;120;4
2021-10-26;Taungnyo;26,8;8,3;80;7;30;146;5
2021-10-27;Taungnyo;27,2;0;77;7;35;163;6
2021-10-28;Taungnyo;26,7;2;77;7;36;223;7
2021-10-29;Taungnyo;26,9;0,9;79;7;37;240;8
2021-10-30;Taungnyo;27;12,4;79;7;46;262;9
2021-10-31;Taungnyo;25,7;9,59;86;6;50;343;10
2021-11-01;Taungnyo;27,3;9,6;79;7;57;353;11
2021-11-02;Taungnyo;26,8;11,9;82;7;58;449;12
2021-11-03;Taungnyo;27,1;0,2;79;7;64;456;13
2021-11-04;Taungnyo;26,7;0,7;80;7;75;475;14
2021-11-05;Taungnyo;27,3;7,62;79;7;80;634;15
2021-11-06;Taungnyo;27,2;12,3;81;7;81;663;16
2021-11-07;Taungnyo;27,3;2,4;80;7;86;756;17
2021-11-08;Taungnyo;27,9;16;76;7;90;833;18
2021-11-09;Taungnyo;26;4,9;83;6;94;874;19
2021-11-10;Taungnyo;26,5;0;77;7;98;956;20
2021-11-11;Taungnyo;26,3;0,8;77;6;102;962;21
2021-11-12;Taungnyo;26;0;79;6;117;1116;22
2021-11-13;Taungnyo;25,3;0,5;85;6;120;1144;23
2021-11-14;Taungnyo;24,8;9;87;6;124;1146;24
2021-11-15;Taungnyo;25,4;0,4;86;6;129;1347;25
2021-11-16;Taungnyo;25,9;15,6;85;6;132;1435;26
2021-11-17;Taungnyo;26,3;10,33;83;6;134;1489;27
2021-11-18;Taungnyo;26,6;11,4;82;7;156;1728;28
2021-11-19;Taungnyo;26;10,9;84;6;165;1814;29
2021-11-20;Taungnyo;26,9;2,4;82;7;175;1930;30
2021-11-21;Taungnyo;27,1;5,4;81;7;180;2018;31
2021-11-22;Taungnyo;27;5,6;81;6;182;2076;32
2021-11-23;Taungnyo;26,5;29,7;80;6;182;2109;33
2021-11-24;Taungnyo;26,5;5,5;75;6;185;2251;34
2021-11-25;Taungnyo;26,8;0;73;7;196;2270;35
2021-11-26;Taungnyo;26;0;76;6;208;2484;36
2021-11-27;Taungnyo;26,5;0;71;8;214;2621;37
2021-11-28;Taungnyo;26,2;0;71;8;217;2744;38
2021-11-29;Taungnyo;25,6;0;72;6;223;2748;39
2021-11-30;Taungnyo;25,5;0,7;73;6;225;2815;40
2021-12-01;Taungnyo;24,4;1,2;72;6;228;2969;41
2021-12-02;Taungnyo;25,3;0;69;7;232;3029;42
2021-12-03;Taungnyo;25,4;0;67;8;13;63;1
2021-12-04;Taungnyo;25;0;61;8;16;73;2
2021-12-05;Taungnyo;23,3;0;58;7;24;109;3
2021-12-06;Taungnyo;24,1;0;64;8;26;117;4
2021-12-07;Taungnyo;24,5;0;63;8;28;149;5
2021-12-08;Taungnyo;24,8;0;57;8;32;163;6
2021-12-09;Taungnyo;25,6;0;63;8;39;189;7
2021-12-10;Taungnyo;26;0;70;8;44;242;8
2021-12-11;Taungnyo;26,7;0;66;8;44;308;9
2021-12-12;Taungnyo;26,5;0;63;8;47;349;10
2021-12-13;Taungnyo;25,9;0;64;8;50;362;11
2021-12-14;Taungnyo;26,2;0;66;8;53;402;12
2021-12-15;Taungnyo;26,5;0;67;8;61;450;13
2021-12-16;Taungnyo;26,8;0;70;8;69;488;14
2021-12-17;Taungnyo;26,7;0;73;8;76;624;15
2021-12-18;Taungnyo;27,6;0;67;8;83;693;16
2021-12-19;Taungnyo;26,5;0;64;8;86;724;17
2021-12-20;Taungnyo;25,3;0;61;8;87;806;18
2021-12-21;Taungnyo;25,5;0;66;8;92;814;19
2021-12-22;Taungnyo;25,7;0;73;8;110;872;20
2021-12-23;Taungnyo;25,6;0;75;8;113;1076;21
2021-12-24;Taungnyo;25,4;0;75;8;126;1134;22
2021-12-25;Taungnyo;25,4;1,7;75;7;129;1172;23
2021-12-26;Taungnyo;25,7;2,2;76;7;138;1260;24
2021-12-27;Taungnyo;26,4;1,2;73;7;144;1408;25
2021-12-28;Taungnyo;26,8;0;64;8;144;1524;26
2021-12-29;Taungnyo;27,1;0;63;8;156;1543;27
2021-12-30;Taungnyo;26,4;0;74;7;163;1629;28
2021-12-31;Taungnyo;27;0;64;8;164;1647;29
2022-01-01;Taungnyo;27,5;0;59;8;174;1758;30
2022-01-02;Taungnyo;26,8;0;60;8;176;1921;31
2022-01-03;Taungnyo;26,8;0;65;8;177;1928;32
2022-01-04;Taungnyo;26,9;0;64;8;190;2150;33
2022-01-05;Taungnyo;27;0;68;7;192;2161;34
2022-01-06;Taungnyo;27,1;0;68;8;202;2276;35
2022-01-07;Taungnyo;27,5;0;70;8;205;2511;36
2022-01-08;Taungnyo;26,8;0;68;8;213;2585;37
2022-01-09;Taungnyo;26,8;0;70;8;217;2751;38
2022-01-10;Taungnyo;26,7;0;71;8;221;2813;39
2022-01-11;Taungnyo;26,9;0;69;8;227;2939;40
2022-01-12;Taungnyo;27;0,3;66;8;228;3028;41
2022-01-13;Taungnyo;26,8;0,9;74;7;234;3053;42
2022-01-14;Taungnyo;26,8;0;71;8;12;62;1
2022-01-15;Taungnyo;26,5;0;70;8;18;76;2
2022-01-16;Taungnyo;26,5;0;72;8;24;100;3
2022-01-17;Taungnyo;26,8;0;74;8;26;113;4
2022-01-18;Taungnyo;26,9;0;71;8;27;159;5
2022-01-19;Taungnyo;26,9;0;69;7;30;160;6
2022-01-20;Taungnyo;26,1;0,6;73;7;40;197;7
2022-01-21;Taungnyo;26,1;1,8;75;7;43;223;8
2022-01-22;Taungnyo;25,9;2,3;76;7;46;291;9
2022-01-23;Taungnyo;25,6;0;74;8;48;295;10
2022-01-24;Taungnyo;25,6;0;72;8;53;338;11
2022-01-25;Taungnyo;25,8;0;64;8;58;413;12
2022-01-26;Taungnyo;26,1;0;61;8;59;490;13
2022-01-27;Taungnyo;27;0;60;8;76;560;14
2022-01-28;Taungnyo;27,4;0;64;8;79;577;15
2022-01-29;Taungnyo;27,2;0;72;8;79;697;16
2022-01-30;Taungnyo;27,2;0;71;7;84;767;17
2022-01-31;Taungnyo;26,1;0;70;8;90;841;18
2022-02-01;Taungnyo;26,5;0;68;8;94;871;19
2022-02-02;Taungnyo;26,4;0,5;74;7;105;930;20
2022-02-03;Taungnyo;26,9;2,3;73;7;119;948;21
2022-02-04;Taungnyo;26,9;4,1;73;7;123;1101;22
2022-02-05;Taungnyo;26,9;0,9;71;7;124;1196;23
2022-02-06;Taungnyo;27,6;0,5;68;7;136;1222;24
2022-02-07;Taungnyo;27,7;0,4;74;7;145;1348;25
2022-02-08;Taungnyo;27,5;0;74;7;147;1453;26
2022-02-09;Taungnyo;27,6;0,3;71;7;149;1562;27
2022-02-10;Taungnyo;27,1;0,4;68;7;161;1597;28
2022-02-11;Taungnyo;27,5;0,4;63;8;164;1736;29
2022-02-12;Taungnyo;27,6;0,1;66;7;173;1762;30
2022-02-13;Taungnyo;27,2;0,3;65;7;178;1797;31
2022-02-14;Taungnyo;26,3;1,8;77;7;187;1860;32
2022-02-15;Taungnyo;26,1;60,8;80;7;190;1912;33
2022-02-16;Taungnyo;26,4;16,5;76;7;193;2085;34
2022-02-17;Taungnyo;26,5;12;79;6;194;2416;35
2022-02-18;Taungnyo;26,9;11,71;79;7;199;2511;36
2022-02-19;Taungnyo;27,3;3,2;78;7;205;2528;37
2022-02-20;Taungnyo;26,7;9,5;79;7;218;2725;38
2022-02-21;Taungnyo;26,7;0;79;7;220;2858;39
2022-02-22;Taungnyo;25,9;10,8;71;7;225;2989;40
2022-02-23;Taungnyo;26,9;0,7;71;7;227;3087;41
2022-02-24;Taungnyo;27,2;0;66;8;235;3192;42
2022-02-25;Taungnyo;27,2;0;62;8;12;63;1
2022-02-26;Taungnyo;27,3;0;61;8;18;88;2
2022-02-27;Taungnyo;26,9;0;65;7;23;106;3
2022-02-28;Taungnyo;26,9;0;69;7;25;125;4
2022-03-01;Taungnyo;27,5;4,7;70;7;30;149;5
2022-03-02;Taungnyo;27,7;17,2;73;7;35;180;6
2022-03-03;Taungnyo;27,5;1,1;77;7;36;221;7
2022-03-04;Taungnyo;27,9;11,7;76;7;38;240;8
2022-03-05;Taungnyo;27,8;1,1;75;7;42;263;9
2022-03-06;Taungnyo;27,8;7,55;77;7;51;324;10
2022-03-07;Taungnyo;27,9;7,8;78;7;53;345;11
2022-03-08;Taungnyo;26,7;12,7;79;7;55;450;12
2022-03-09;Taungnyo;27,3;1,1;76;7;69;463;13
2022-03-10;Taungnyo;27,6;7,13;79;7;75;570;14
2022-03-11;Taungnyo;27,7;12,37;79;7;77;581;15
2022-03-12;Taungnyo;28,3;0,7;79;7;77;623;16
2022-03-13;Taungnyo;28;23,8;80;7;88;710;17
2022-03-14;Taungnyo;28,2;6,61;79;7;98;727;18
